model_id,model_name,provider,family,release_date,param_count_B,architecture,context_window_k,open_source,license,modality,mmlu_score,mmlu_pro_score,gpqa_diamond_score,humaneval_pass1,mbpp_pass1,math_score,gsm8k_score,arc_challenge_score,hellaswag_score,winogrande_score,truthfulqa_score,bbh_score,ifeval_score,mt_bench_score,chatbot_arena_elo,swe_bench_verified_pct,aime_2024_score,livebench_score,input_price_per_1M_tokens_usd,output_price_per_1M_tokens_usd,ttft_ms,output_tokens_per_sec,latency_500tok_response_sec,api_available,rate_limit_rpm,toxicity_score_pct,bias_score_pct,refusal_rate_pct,hallucination_rate_pct,instruction_following_pct,jailbreak_resistance_pct,factuality_score_pct,rlhf_aligned,safety_training
M001,GPT-4o,OpenAI,GPT-4,2024-05-13,200.0,Transformer (MoE),128,False,Proprietary,Text + Vision,77.5,63.3,62.2,78.1,81.8,71.6,82.1,82.0,88.6,86.0,65.6,72.8,69.4,8.8,1232,42.1,62.9,54.6,6.12,29.86,931,78.9,7.27,True,60,2.26,10.66,23.4,4.6,85.7,63.4,84.2,True,PPO + DPO
M002,GPT-4o Mini,OpenAI,GPT-4,2024-07-18,8.0,Transformer (MoE),128,False,Proprietary,Text + Vision,78.2,59.2,55.4,72.8,62.0,67.3,78.0,76.0,81.3,87.9,57.8,62.6,69.5,8.1,1134,31.0,55.8,55.2,0.9,4.29,244,55.1,9.32,True,10000,3.44,9.39,31.6,23.0,76.7,46.0,76.0,False,DPO
M003,GPT-4.5,OpenAI,GPT-4,2025-02-27,250.0,Transformer (MoE),128,False,Proprietary,Text + Vision,84.9,74.0,68.1,84.3,84.2,80.0,95.2,88.4,94.2,93.8,68.2,82.3,85.2,8.9,1268,42.5,50.3,69.0,19.58,65.59,781,40.1,13.25,True,100,4.76,11.81,19.4,8.3,94.8,82.7,87.8,False,DPO
M004,o1,OpenAI,o-series,2024-12-17,200.0,Transformer (CoT),200,False,Proprietary,Text + Vision,75.1,75.7,71.2,86.9,89.4,92.4,97.9,89.8,93.0,90.9,68.5,80.2,86.8,8.8,1291,55.0,81.1,67.2,10.2,41.2,834,28.4,18.44,True,1000,7.84,7.51,16.8,9.6,85.4,76.3,82.3,True,DPO
M005,o1-mini,OpenAI,o-series,2024-09-12,50.0,Transformer (CoT),128,False,Proprietary,Text,73.3,60.4,54.7,77.6,73.2,71.5,82.3,80.2,81.8,83.8,64.6,62.7,75.8,8.4,1130,53.0,63.3,54.0,1.78,7.68,561,102.9,5.42,True,60,6.92,12.81,21.1,14.7,73.4,42.8,75.4,True,RLHF + Red-teaming
M006,o3-mini,OpenAI,o-series,2025-01-31,70.0,Transformer (CoT),200,False,Proprietary,Text,90.1,72.3,63.1,89.7,88.2,91.1,97.9,94.1,90.8,88.1,74.1,81.7,83.9,8.6,1296,57.8,80.7,75.0,21.3,61.77,1452,42.3,13.27,True,100,2.7,14.47,8.3,19.6,93.4,43.4,87.7,False,PPO + DPO
M007,GPT-3.5 Turbo,OpenAI,GPT-3.5,2023-03-01,20.0,Transformer,16,False,Proprietary,Text,61.2,54.9,43.7,56.8,58.3,53.5,68.3,71.7,75.2,78.5,56.9,59.2,67.0,7.9,1060,27.9,41.2,46.3,0.26,0.7,311,163.9,3.36,True,10000,0.62,11.34,27.5,11.5,65.0,88.2,72.7,True,RLHF
M008,Claude 3.5 Sonnet,Anthropic,Claude 3.5,2024-06-20,,Transformer,200,False,Proprietary,Text + Vision,79.4,72.4,60.4,77.7,78.8,70.1,81.8,87.6,87.6,88.7,72.5,71.3,80.1,8.4,1229,44.7,52.9,56.2,3.78,14.97,416,94.7,5.7,True,100,7.13,12.42,24.6,7.9,82.8,43.0,74.6,False,PPO + DPO
M009,Claude 3.5 Haiku,Anthropic,Claude 3.5,2024-10-22,,Transformer,200,False,Proprietary,Text + Vision,72.7,59.6,52.5,71.6,70.1,63.0,80.1,78.3,81.3,83.3,60.8,67.8,76.4,8.5,1112,34.8,45.5,48.5,1.26,3.5,542,87.9,6.23,True,500,5.42,10.82,30.7,5.1,68.7,48.5,73.0,False,RLHF + Constitutional AI
M010,Claude 3 Opus,Anthropic,Claude 3,2024-03-04,,Transformer,200,False,Proprietary,Text + Vision,74.4,61.2,60.2,76.7,78.3,69.5,87.0,87.6,86.1,85.6,72.7,72.2,84.4,9.1,1212,41.7,61.1,54.8,5.75,25.02,726,41.6,12.75,True,10000,3.35,14.81,32.7,3.4,87.3,63.2,78.2,True,RLHF + Red-teaming
