model_id,model_name,provider,model_family,release_date,parameters_billion,active_parameters_billion,architecture,context_window_k,license,open_weight,modality,training_data_cutoff
gpt-4o,GPT-4o,OpenAI,GPT-4,2024-05-13,,,Dense Transformer,128,Proprietary,0,Text+Vision+Audio,2023-10
gpt-4o-mini,GPT-4o Mini,OpenAI,GPT-4,2024-07-18,,,Dense Transformer,128,Proprietary,0,Text+Vision,2023-10
gpt-4-turbo,GPT-4 Turbo,OpenAI,GPT-4,2024-04-09,,,Dense Transformer,128,Proprietary,0,Text+Vision,2023-12
o1,o1,OpenAI,o1,2024-12-17,,,Dense Transformer,200,Proprietary,0,Text+Vision,2024-06
o1-mini,o1-mini,OpenAI,o1,2024-09-12,,,Dense Transformer,128,Proprietary,0,Text,2024-06
o1-pro,o1-pro,OpenAI,o1,2025-03-19,,,Dense Transformer,200,Proprietary,0,Text+Vision,2024-06
o3,o3,OpenAI,o3,2025-04-16,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2024-10
o3-mini,o3-mini,OpenAI,o3,2025-01-31,,,Dense Transformer,200,Proprietary,0,Text+Code,2024-10
o4-mini,o4-mini,OpenAI,o4,2025-04-16,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2024-10
gpt-4-1,GPT-4.1,OpenAI,GPT-4.1,2025-04-14,,,Dense Transformer,1048,Proprietary,0,Text+Vision,2025-03
gpt-4-1-mini,GPT-4.1 Mini,OpenAI,GPT-4.1,2025-04-14,,,Dense Transformer,1048,Proprietary,0,Text+Vision,2025-03
gpt-4-1-nano,GPT-4.1 Nano,OpenAI,GPT-4.1,2025-04-14,,,Dense Transformer,1048,Proprietary,0,Text+Vision,2025-03
gpt-5,GPT-5,OpenAI,GPT-5,2025-08-20,,,Dense Transformer,1048,Proprietary,0,Text+Vision+Audio+Code,2025-06
gpt-5-3-codex,GPT-5.3 Codex,OpenAI,GPT-5,2025-11-15,,,Dense Transformer,1048,Proprietary,0,Text+Vision+Code,2025-09
gpt-5-4,GPT-5.4,OpenAI,GPT-5,2026-02-10,,,Dense Transformer,1048,Proprietary,0,Text+Vision+Audio+Code,2025-12
claude-3-haiku,Claude 3 Haiku,Anthropic,Claude 3,2024-03-13,,,Dense Transformer,200,Proprietary,0,Text+Vision,2024-08
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,Claude 3.5,2024-06-20,,,Dense Transformer,200,Proprietary,0,Text+Vision,2024-04
claude-3-5-haiku,Claude 3.5 Haiku,Anthropic,Claude 3.5,2024-10-22,,,Dense Transformer,200,Proprietary,0,Text+Vision,2024-07
claude-3-6-opus,Claude 3.6 Opus,Anthropic,Claude 3.6,2025-02-24,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2024-11
