model_id,input_cost_per_1m_tokens_usd,output_cost_per_1m_tokens_usd,median_latency_first_token_ms,throughput_tokens_per_sec,pricing_date,free_tier_available
gpt-4o,2.5,10.0,320,95,2026-04-01,0
gpt-4o-mini,0.15,0.6,180,150,2026-04-01,1
gpt-4-turbo,10.0,30.0,400,60,2026-04-01,0
o1,15.0,60.0,1200,40,2026-04-01,0
o1-mini,3.0,12.0,600,70,2026-04-01,0
o1-pro,150.0,600.0,3000,25,2026-04-01,0
o3,10.0,40.0,800,55,2026-04-01,0
o3-mini,1.1,4.4,400,90,2026-04-01,0
o4-mini,1.1,4.4,350,95,2026-04-01,0
gpt-4-1,2.0,8.0,250,100,2026-04-01,0
gpt-4-1-mini,0.4,1.6,150,160,2026-04-01,0
gpt-4-1-nano,0.1,0.4,80,220,2026-04-01,1
gpt-5,5.0,20.0,350,80,2026-04-01,0
gpt-5-3-codex,6.0,24.0,380,75,2026-04-01,0
gpt-5-4,7.5,30.0,400,70,2026-04-01,0
claude-3-haiku,0.25,1.25,200,130,2026-04-01,0
claude-3-5-sonnet,3.0,15.0,350,80,2026-04-01,0
claude-3-5-haiku,0.8,4.0,180,120,2026-04-01,0
claude-3-6-opus,15.0,75.0,500,50,2026-04-01,0
claude-sonnet-4,3.0,15.0,300,85,2026-04-01,0
claude-opus-4,15.0,75.0,450,45,2026-04-01,0
claude-haiku-4-5,1.0,5.0,150,140,2026-04-01,0
claude-sonnet-4-6,3.0,15.0,280,90,2026-04-01,0
claude-opus-4-6,15.0,75.0,420,50,2026-04-01,0
gemini-1-5-pro,1.25,5.0,300,100,2026-04-01,0
gemini-1-5-flash,0.075,0.3,120,180,2026-04-01,1
gemini-2-0-flash,0.1,0.4,100,200,2026-04-01,1
gemini-2-5-pro,1.25,10.0,350,85,2026-04-01,0
gemini-2-5-flash,0.15,0.6,90,210,2026-04-01,1
gemini-3-0-pro,2.0,12.0,300,90,2026-04-01,0
gemini-3-1-pro,2.5,15.0,320,85,2026-04-01,0
deepseek-v3,0.27,1.1,250,110,2026-04-01,0
deepseek-r1,0.55,2.19,600,60,2026-04-01,0
deepseek-r1-distill-7b,0.07,0.14,100,200,2026-04-01,1
deepseek-r1-distill-70b,0.3,0.9,200,100,2026-04-01,0
deepseek-v2-5,0.14,0.28,200,120,2026-04-01,1
deepseek-v3-1,0.3,1.2,230,115,2026-04-01,0
deepseek-v3-2,0.35,1.4,240,110,2026-04-01,0
grok-2,2.0,10.0,350,75,2026-04-01,0
grok-3,3.0,15.0,400,65,2026-04-01,0
grok-3-mini,0.3,0.5,200,130,2026-04-01,0
grok-3-5,5.0,20.0,380,70,2026-04-01,0
mistral-large-2,2.0,6.0,300,80,2026-04-01,0
mistral-small-3,0.1,0.3,120,170,2026-04-01,1
mistral-medium-3,0.8,2.4,200,110,2026-04-01,0
