model_id,model_name,toxicity_score_pct,bias_score_pct,refusal_rate_pct,hallucination_rate_pct,instruction_following_pct,jailbreak_resistance_pct,factuality_score_pct,rlhf_aligned,safety_training
M001,GPT-4o,2.26,10.66,23.4,4.6,85.7,63.4,84.2,True,PPO + DPO
M002,GPT-4o Mini,3.44,9.39,31.6,23.0,76.7,46.0,76.0,False,DPO
M003,GPT-4.5,4.76,11.81,19.4,8.3,94.8,82.7,87.8,False,DPO
M004,o1,7.84,7.51,16.8,9.6,85.4,76.3,82.3,True,DPO
M005,o1-mini,6.92,12.81,21.1,14.7,73.4,42.8,75.4,True,RLHF + Red-teaming
M006,o3-mini,2.7,14.47,8.3,19.6,93.4,43.4,87.7,False,PPO + DPO
M007,GPT-3.5 Turbo,0.62,11.34,27.5,11.5,65.0,88.2,72.7,True,RLHF
M008,Claude 3.5 Sonnet,7.13,12.42,24.6,7.9,82.8,43.0,74.6,False,PPO + DPO
M009,Claude 3.5 Haiku,5.42,10.82,30.7,5.1,68.7,48.5,73.0,False,RLHF + Constitutional AI
M010,Claude 3 Opus,3.35,14.81,32.7,3.4,87.3,63.2,78.2,True,RLHF + Red-teaming
M011,Claude Sonnet 4,5.57,12.16,15.8,8.0,95.1,40.4,80.8,True,RLHF + Constitutional AI
M012,Claude Opus 4,2.75,6.69,6.3,9.2,88.8,62.8,87.4,True,DPO
M013,Gemini 1.5 Pro,1.58,8.32,8.0,8.8,89.0,50.0,78.4,False,DPO
M014,Gemini 1.5 Flash,1.81,14.16,7.0,4.3,75.8,56.6,83.2,True,PPO + DPO
M015,Gemini 2.0 Flash,3.48,9.65,28.3,24.0,81.0,58.5,77.3,True,RLHF + Red-teaming
M016,Gemini 2.5 Pro,7.73,2.26,10.4,9.3,88.6,56.0,85.2,False,DPO
M017,Gemma 2 27B,1.14,12.94,11.4,20.2,66.2,79.7,66.8,True,RLHF
M018,Llama 3.1 405B,1.74,14.65,17.8,3.8,79.1,75.4,77.4,True,PPO + DPO
M019,Llama 3.1 70B,1.02,8.47,19.3,15.8,81.7,65.6,71.8,True,RLHF + Red-teaming
M020,Llama 3.1 8B,3.78,12.06,10.6,5.6,70.4,42.5,65.2,False,DPO
M021,Llama 3.3 70B,6.55,6.7,28.6,9.7,78.2,46.8,77.9,True,DPO
M022,Llama 4 Scout,4.05,13.93,11.2,7.0,89.0,40.2,74.8,False,RLHF
M023,Llama 4 Maverick,1.58,5.54,34.4,5.2,93.2,65.7,81.5,True,DPO
M024,Mistral Large 2,5.77,13.99,20.1,19.1,84.6,68.6,82.0,True,PPO + DPO
M025,Mistral Small 3,5.96,8.3,19.2,9.2,76.8,47.3,78.6,False,RLHF
M026,Mixtral 8x22B,2.17,3.45,13.0,12.1,75.8,55.6,75.6,True,RLHF + Constitutional AI
M027,Codestral,1.45,6.24,27.8,8.6,63.7,87.2,71.2,False,DPO
M028,DeepSeek-V3,2.82,2.91,33.7,16.5,84.9,56.2,72.4,False,PPO + DPO
M029,DeepSeek-R1,6.57,7.44,26.6,14.5,88.4,80.2,82.2,True,RLHF + Constitutional AI
M030,DeepSeek-R1 Distill 70B,4.2,8.56,33.4,13.1,79.0,48.1,73.5,True,PPO + DPO
M031,DeepSeek-R1 Distill 8B,6.66,4.7,5.9,15.7,66.9,83.2,68.3,True,RLHF + Constitutional AI
M032,Command R+,0.95,4.69,11.9,9.6,75.2,56.2,73.0,True,RLHF + Red-teaming
M033,Command R,3.68,4.46,5.5,14.2,68.4,51.8,65.4,True,DPO
M034,Qwen2.5 72B,1.82,14.99,18.0,20.3,87.7,88.5,80.7,True,PPO + DPO
M035,Qwen2.5 7B,6.68,5.27,20.5,3.5,68.4,75.0,67.5,True,RLHF
M036,QwQ 32B,4.61,10.54,7.4,19.6,83.6,51.5,82.8,True,RLHF + Constitutional AI
M037,Grok-2,7.08,2.34,22.0,3.6,84.7,76.0,83.1,False,RLHF
M038,Grok-3,6.31,13.32,13.8,14.7,85.4,41.0,78.9,True,DPO
M039,Phi-4,3.71,4.11,17.7,20.7,81.6,61.3,74.4,True,RLHF + Constitutional AI
M040,DBRX,6.56,7.59,11.6,20.8,70.3,62.0,76.4,True,RLHF + Constitutional AI
M041,Yi-1.5 34B,4.21,12.08,7.5,14.4,74.7,50.0,76.9,True,DPO
M042,Jamba 1.5 Large,4.51,13.72,17.2,5.8,82.4,78.2,74.0,True,RLHF
