"name","slug","provider","category","inputPricePer1M","outputPricePer1M","contextWindow","maxOutputTokens","multimodal","openSource","apiAvailable","releaseDate","bestFor","bestFor","bestFor","apiDocsUrl","lastVerified"
"Amazon Nova Pro","amazon-nova-pro","Amazon","mid-tier","0.8","3.2","300000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.aws.amazon.com/bedrock/latest/userguide/model-ids.html","2026-03-03"
"Claude Opus 4.6","claude-opus-4-6","Anthropic","frontier","5","25","200000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.anthropic.com/en/docs/about-claude/models","2026-03-03"
"Claude Haiku 4.5","claude-haiku-4-5","Anthropic","budget","0.8","4","200000","16384","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.anthropic.com/en/docs/about-claude/models","2026-03-03"
"Claude Sonnet 4.6","claude-sonnet-4-6","Anthropic","mid-tier","3","15","200000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.anthropic.com/en/docs/about-claude/models","2026-03-03"
"Codestral","codestral","Mistral","specialized","0.3","0.9","256000","32768","false","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.mistral.ai/getting-started/models/","2026-03-03"
"Command R+","command-r-plus","Cohere","mid-tier","2.5","10","128000","16384","false","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.cohere.com/docs/models","2026-03-03"
"DeepSeek R1","deepseek-r1","DeepSeek","mid-tier","0.55","2.19","128000","32768","false","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://api-docs.deepseek.com/","2026-03-03"
"DeepSeek V3.2","deepseek-v3-2","DeepSeek","budget","0.14","0.28","128000","32768","false","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://api-docs.deepseek.com/","2026-03-03"
"Command R","command-r","Cohere","budget","0.15","0.6","128000","16384","false","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.cohere.com/docs/models","2026-03-03"
"Gemini 2.0 Flash Lite","gemini-2-0-flash-lite","Google","budget","75","0.3","1000000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.google.dev/gemini-api/docs/models","2026-03-03"
"Gemini 2.5 Flash","gemini-2-5-flash","Google","mid-tier","0.15","0.6","1000000","65536","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.google.dev/gemini-api/docs/models","2026-03-03"
"Gemini 2.5 Pro","gemini-2-5-pro","Google","frontier","1.25","10","1000000","65536","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.google.dev/gemini-api/docs/models","2026-03-03"
"GPT-4o Mini","gpt-4o-mini","OpenAI","budget","0.15","0.6","128000","16384","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://platform.openai.com/docs/models","2026-03-03"
"GPT-4o","gpt-4o","OpenAI","mid-tier","2.5","10","128000","16384","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://platform.openai.com/docs/models","2026-03-03"
"Gemma 3 27B","gemma-3","Google","open-source","0.1","0.2","128000","8192","false","true","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.google.dev/gemini-api/docs/models","2026-03-03"
"GPT-5","gpt-5","OpenAI","frontier","1.25","10","128000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://platform.openai.com/docs/models","2026-03-03"
"Grok 3 Mini","grok-3-mini","xAI","mid-tier","0.3","0.5","131000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.x.ai/docs/models","2026-03-03"
"Grok 3","grok-3","xAI","frontier","3","15","131000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.x.ai/docs/models","2026-03-03"
"Llama 3.3 70B","llama-3-3-70b","Meta","open-source","0.18","0.18","128000","8192","false","true","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.meta.com/llama/","2026-03-03"
"Llama 4 Maverick","llama-4-maverick","Meta","open-source","0.2","0.6","1000000","32768","true","true","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.meta.com/llama/","2026-03-03"
"Llama 4 Scout","llama-4-scout","Meta","open-source","0.15","0.4","10000000","32768","true","true","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://ai.meta.com/llama/","2026-03-03"
"Mistral Large","mistral-large","Mistral","mid-tier","2","6","128000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.mistral.ai/getting-started/models/","2026-03-03"
"Mistral Small","mistral-small","Mistral","budget","0.1","0.3","128000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://docs.mistral.ai/getting-started/models/","2026-03-03"
"o3","o3","OpenAI","frontier","2","8","200000","65536","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://platform.openai.com/docs/models","2026-03-03"
"o4-mini","o4-mini","OpenAI","mid-tier","1.1","4.4","200000","65536","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://platform.openai.com/docs/models","2026-03-03"
"Phi-4","phi-4","Microsoft","open-source","0.07","0.14","16000","4096","false","true","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://learn.microsoft.com/azure/ai-foundry/","2026-03-03"
"Qwen 2.5 Max","qwen-2-5-max","Alibaba","mid-tier","1.6","6.4","128000","32768","true","false","true","2026-02-01","Agent workflows"," Content and coding tasks"," Team AI products","https://www.alibabacloud.com/help/en/model-studio/getting-started/models","2026-03-03"
